PID,Garage Cars,Garage Area,Yr Sold,SalePrice
526301100,2,528,2010,215000
526302030,2,452,2006,149900
526302040,1,313,2006,157500
526302110,1,502,2009,124500
526302120,3,963,2006,169000
526303060,2,550,2006,252000
526350040,1,730,2010,105000
526351010,1,312,2010,172000
526351030,2,601,2008,176500
526351100,2,528,2009,157000
526352080,2,525,2007,167300
526352090,2,526,2007,167000
526353030,2,522,2010,244000
526353050,2,550,2008,237500
526354020,2,506,2006,192100
526354070,2,576,2008,206900
526355080,2,538,2009,345000
526355170,2,516,2007,244000
526355190,2,621,2007,268000
527105010,2,482,2010,189900
527105030,2,470,2010,195500
527105050,2,470,2008,187500
527105060,2,400,2006,183500
527105070,2,470,2009,189500
527105130,3,632,2009,270000
527105140,2,433,2007,225000
527106010,2,642,2006,222000
527106050,2,420,2008,165000
527106140,2,472,2008,195500
527106150,2,472,2008,192000
527107010,2,386,2008,173000
